session_id,user_id,session_date,landing_page,utm_source,utm_campaign,pageviews,conversions
S00107,U0307,2025-07-03,/demo,facebook,top-q3,1,0
S00108,U0199,2025-07-03,/,,,4,0
S00109,U0087,2025-07-03,/enterprise,facebook,top-q3,3,0
S00110,U0155,2025-07-03,/demo,twitter,test-q3,3,0
S00111,U0223,2025-07-03,/demo,facebook,top-q3,5,0
S00112,U0040,2025-07-03,/demo,linkedin,abm-q3,4,0
S00113,U0254,2025-07-03,/blog,organic,,4,0
S00114,U0070,2025-07-03,/demo,google,brand-q3,7,0
S00115,U0318,2025-07-03,/solutions,facebook,retarget-q3,8,0
S00116,U0418,2025-07-03,/enterprise,organic,,3,0
S00117,U0309,2025-07-03,/enterprise,linkedin,cxo-q3,8,0
S00118,U0494,2025-07-03,/solutions,facebook,retarget-q3,5,0
S00119,U0325,2025-07-03,/solutions,organic,,4,0
S00120,U0144,2025-07-03,/solutions,facebook,retarget-q3,2,1
S00121,U0103,2025-07-03,/blog,,,3,0
S00122,U0282,2025-07-03,/,twitter,test-q3,4,0
S00123,U0150,2025-07-03,/enterprise,google,demo-q3,7,0
S00124,U0072,2025-07-03,/enterprise,linkedin,abm-q3,4,0
S00125,U0079,2025-07-03,/enterprise,facebook,top-q3,7,0
S00126,U0307,2025-07-03,/solutions,organic,,7,0
S00127,U0473,2025-07-03,/enterprise,facebook,top-q3,9,0
S00128,U0496,2025-07-03,/demo,,,10,0
S00129,U0044,2025-07-03,/,linkedin,cxo-q3,6,0
S00130,U0314,2025-07-03,/,organic,,7,1
S00131,U0170,2025-07-03,/solutions,google,demo-q3,1,0
S00132,U0114,2025-07-03,/blog,,,9,0
S00133,U0295,2025-07-03,/pricing,twitter,test-q3,6,0
S00134,U0396,2025-07-03,/enterprise,organic,,9,0
S00135,U0013,2025-07-03,/solutions,google,demo-q3,5,0
S00136,U0493,2025-07-03,/,google,demo-q3,3,0
S00137,U0176,2025-07-03,/solutions,linkedin,cxo-q3,9,0
S00138,U0244,2025-07-03,/,twitter,test-q3,8,0
S00139,U0154,2025-07-03,/,google,demo-q3,1,0
S00140,U0332,2025-07-03,/,google,exp-q3,4,0
S00141,U0283,2025-07-03,/pricing,facebook,retarget-q3,9,0
S00142,U0237,2025-07-03,/pricing,facebook,top-q3,3,0
S00143,U0337,2025-07-03,/solutions,facebook,top-q3,1,0
S00144,U0453,2025-07-03,/pricing,twitter,test-q3,10,0
S00145,U0003,2025-07-03,/enterprise,linkedin,cxo-q3,4,0
S00146,U0361,2025-07-03,/,organic,,2,0
S00147,U0275,2025-07-03,/pricing,facebook,retarget-q3,6,0
S00148,U0059,2025-07-03,/demo,twitter,test-q3,9,1
S00149,U0161,2025-07-03,/blog,facebook,top-q3,10,0
S00150,U0059,2025-07-03,/demo,facebook,retarget-q3,8,0
S00151,U0417,2025-07-03,/enterprise,linkedin,abm-q3,10,0
S00152,U0345,2025-07-03,/pricing,facebook,retarget-q3,2,0
S00153,U0060,2025-07-03,/pricing,facebook,retarget-q3,3,0
S00154,U0215,2025-07-03,/blog,google,exp-q3,10,0
S00155,U0096,2025-07-03,/solutions,,,3,0
S00156,U0251,2025-07-03,/demo,google,exp-q3,3,0
S00157,U0231,2025-07-03,/blog,google,brand-q3,6,1
S00158,U0249,2025-07-03,/pricing,linkedin,cxo-q3,7,1
S00159,U0259,2025-07-03,/enterprise,twitter,test-q3,7,0
S00160,U0364,2025-07-04,/solutions,twitter,test-q3,3,0
S00161,U0016,2025-07-04,/pricing,linkedin,abm-q3,1,0
S00162,U0276,2025-07-04,/demo,google,exp-q3,8,0
S00163,U0396,2025-07-04,/solutions,,,9,0
S00164,U0059,2025-07-04,/demo,,,6,0
S00165,U0388,2025-07-04,/,twitter,test-q3,9,0
S00166,U0218,2025-07-04,/,linkedin,cxo-q3,5,1
S00167,U0017,2025-07-04,/solutions,linkedin,abm-q3,6,1
S00168,U0045,2025-07-04,/solutions,google,demo-q3,4,0
S00169,U0378,2025-07-04,/blog,facebook,retarget-q3,10,0
S00170,U0085,2025-07-04,/blog,google,exp-q3,4,0
S00171,U0413,2025-07-04,/,organic,,6,0
S00172,U0306,2025-07-04,/blog,google,exp-q3,6,2
S00173,U0150,2025-07-04,/demo,organic,,5,1
S00174,U0264,2025-07-04,/enterprise,google,demo-q3,3,1
S00175,U0403,2025-07-04,/solutions,google,brand-q3,5,1
S00176,U0065,2025-07-04,/enterprise,google,exp-q3,4,0
S00177,U0165,2025-07-04,/pricing,facebook,top-q3,8,0
S00178,U0324,2025-07-04,/demo,facebook,top-q3,7,0
S00179,U0325,2025-07-04,/,facebook,top-q3,9,0
S00180,U0356,2025-07-04,/demo,twitter,test-q3,8,0
S00181,U0002,2025-07-04,/enterprise,google,demo-q3,8,0
S00182,U0358,2025-07-04,/demo,google,demo-q3,9,0
S00183,U0496,2025-07-04,/solutions,linkedin,cxo-q3,8,0
S00184,U0425,2025-07-04,/demo,facebook,retarget-q3,9,0
S00185,U0290,2025-07-04,/solutions,facebook,retarget-q3,1,0
S00186,U0321,2025-07-04,/solutions,google,brand-q3,2,1
S00187,U0081,2025-07-04,/solutions,twitter,test-q3,1,2
S00188,U0220,2025-07-04,/pricing,google,exp-q3,5,0
S00189,U0478,2025-07-04,/demo,google,demo-q3,6,0
S00190,U0191,2025-07-04,/enterprise,google,exp-q3,1,0
S00191,U0157,2025-07-04,/enterprise,linkedin,cxo-q3,7,0
S00192,U0361,2025-07-04,/,google,brand-q3,4,0
S00193,U0068,2025-07-04,/blog,linkedin,cxo-q3,9,0
S00194,U0005,2025-07-04,/,facebook,retarget-q3,2,2
S00195,U0217,2025-07-04,/enterprise,google,exp-q3,8,0
S00196,U0197,2025-07-04,/,google,demo-q3,2,0
S00197,U0452,2025-07-04,/demo,google,exp-q3,7,0
S00198,U0386,2025-07-04,/pricing,google,exp-q3,2,0
S00199,U0005,2025-07-04,/blog,google,exp-q3,8,0
S00200,U0110,2025-07-04,/enterprise,google,exp-q3,7,0
S00201,U0227,2025-07-04,/pricing,google,demo-q3,2,0
S00202,U0064,2025-07-04,/blog,facebook,top-q3,6,1
S00203,U0162,2025-07-04,/pricing,linkedin,cxo-q3,5,0
S00204,U0128,2025-07-04,/blog,organic,,10,0
S00205,U0146,2025-07-04,/enterprise,google,brand-q3,5,0
S00206,U0311,2025-07-04,/blog,linkedin,cxo-q3,7,0
S00207,U0028,2025-07-04,/pricing,twitter,test-q3,7,0
S00208,U0256,2025-07-04,/enterprise,organic,,2,0
S00209,U0007,2025-07-04,/demo,facebook,retarget-q3,3,0
S00210,U0430,2025-07-04,/blog,facebook,top-q3,6,0
S00211,U0089,2025-07-04,/solutions,google,demo-q3,1,0
S00212,U0008,2025-07-04,/demo,linkedin,cxo-q3,1,1
S00213,U0486,2025-07-04,/solutions,,,5,0
S00214,U0257,2025-07-04,/solutions,facebook,top-q3,7,0
S00215,U0275,2025-07-04,/blog,organic,,3,0
S00216,U0041,2025-07-05,/blog,linkedin,cxo-q3,3,0
S00217,U0201,2025-07-05,/blog,google,demo-q3,5,0
S00218,U0374,2025-07-05,/pricing,google,brand-q3,4,0
S00219,U0223,2025-07-05,/,twitter,test-q3,10,0
S00220,U0159,2025-07-05,/enterprise,google,exp-q3,2,0
S00221,U0071,2025-07-05,/enterprise,google,brand-q3,3,0
S00222,U0178,2025-07-05,/blog,,,5,0
S00223,U0065,2025-07-05,/enterprise,linkedin,abm-q3,2,0
S00224,U0016,2025-07-05,/demo,facebook,top-q3,5,0
S00225,U0135,2025-07-05,/enterprise,organic,,2,0
S00226,U0262,2025-07-05,/demo,google,brand-q3,8,1
S00227,U0086,2025-07-05,/demo,google,exp-q3,5,0
S00228,U0458,2025-07-05,/blog,google,demo-q3,4,0
S00229,U0002,2025-07-05,/,google,brand-q3,4,0
S00230,U0187,2025-07-05,/solutions,google,exp-q3,3,1
S00231,U0440,2025-07-05,/,,,7,0
S00232,U0128,2025-07-05,/solutions,facebook,retarget-q3,5,0
S00233,U0293,2025-07-05,/demo,google,demo-q3,9,0
S00234,U0027,2025-07-05,/pricing,linkedin,cxo-q3,9,2
S00235,U0489,2025-07-05,/solutions,google,demo-q3,8,1
S00236,U0397,2025-07-05,/demo,facebook,retarget-q3,2,0
S00237,U0005,2025-07-05,/demo,linkedin,cxo-q3,5,0
S00238,U0156,2025-07-05,/enterprise,organic,,4,0
S00239,U0303,2025-07-05,/solutions,linkedin,cxo-q3,9,0
S00240,U0126,2025-07-05,/pricing,google,brand-q3,7,0
S00241,U0278,2025-07-05,/demo,google,brand-q3,6,0
S00242,U0337,2025-07-05,/solutions,linkedin,abm-q3,2,0
S00243,U0122,2025-07-05,/solutions,twitter,test-q3,1,2
S00244,U0073,2025-07-05,/enterprise,linkedin,abm-q3,2,0
S00245,U0119,2025-07-05,/blog,facebook,top-q3,6,0
S00246,U0383,2025-07-05,/,organic,,2,0
S00247,U0327,2025-07-05,/solutions,google,demo-q3,10,0
S00248,U0223,2025-07-05,/enterprise,google,exp-q3,4,0
S00249,U0436,2025-07-05,/demo,facebook,top-q3,6,0
S00250,U0140,2025-07-05,/pricing,google,demo-q3,4,0
S00251,U0395,2025-07-05,/blog,google,demo-q3,3,0
S00252,U0231,2025-07-05,/solutions,facebook,retarget-q3,7,0
S00253,U0184,2025-07-05,/pricing,twitter,test-q3,5,0
S00254,U0437,2025-07-05,/,google,demo-q3,3,0
S00255,U0156,2025-07-05,/enterprise,organic,,1,0
S00256,U0439,2025-07-05,/demo,google,exp-q3,2,0
S00257,U0496,2025-07-05,/demo,facebook,top-q3,9,0
S00258,U0154,2025-07-05,/demo,google,exp-q3,1,1
S00259,U0438,2025-07-05,/solutions,,,9,0
S00260,U0237,2025-07-05,/,google,exp-q3,2,0
S00261,U0426,2025-07-05,/pricing,google,exp-q3,4,0
S00262,U0191,2025-07-05,/enterprise,google,demo-q3,10,0
S00263,U0470,2025-07-05,/,google,brand-q3,2,0
S00264,U0331,2025-07-05,/solutions,google,exp-q3,2,1
S00265,U0063,2025-07-06,/,twitter,test-q3,1,0
S00266,U0294,2025-07-06,/solutions,facebook,top-q3,8,0
S00267,U0350,2025-07-06,/solutions,google,exp-q3,6,0
S00268,U0096,2025-07-06,/demo,linkedin,abm-q3,8,1
S00269,U0018,2025-07-06,/blog,organic,,10,0
S00270,U0152,2025-07-06,/solutions,facebook,top-q3,9,0
S00271,U0045,2025-07-06,/demo,facebook,top-q3,3,0
S00272,U0330,2025-07-06,/blog,linkedin,cxo-q3,9,0
S00273,U0196,2025-07-06,/enterprise,facebook,retarget-q3,8,0
S00274,U0249,2025-07-06,/demo,organic,,9,0
S00275,U0139,2025-07-06,/pricing,google,brand-q3,6,0
S00276,U0016,2025-07-06,/demo,google,brand-q3,8,0
S00277,U0393,2025-07-06,/blog,linkedin,cxo-q3,3,0
S00278,U0337,2025-07-06,/pricing,linkedin,abm-q3,9,0
S00279,U0470,2025-07-06,/enterprise,google,brand-q3,4,0
S00280,U0409,2025-07-06,/solutions,facebook,retarget-q3,3,0
S00281,U0304,2025-07-06,/demo,facebook,retarget-q3,10,0
S00282,U0359,2025-07-06,/demo,organic,,10,0
S00283,U0486,2025-07-06,/pricing,twitter,test-q3,9,0
S00284,U0252,2025-07-06,/,google,demo-q3,1,0
S00285,U0113,2025-07-06,/,,,8,0
S00286,U0470,2025-07-06,/blog,linkedin,cxo-q3,3,0
S00287,U0091,2025-07-06,/demo,google,brand-q3,1,0
S00288,U0361,2025-07-06,/pricing,google,demo-q3,9,1
S00289,U0492,2025-07-06,/,facebook,retarget-q3,7,0
S00290,U0173,2025-07-06,/demo,facebook,retarget-q3,3,2
S00291,U0375,2025-07-06,/solutions,twitter,test-q3,6,0
S00292,U0496,2025-07-06,/blog,organic,,6,0
S00293,U0302,2025-07-06,/pricing,facebook,top-q3,5,0
S00294,U0151,2025-07-06,/pricing,google,exp-q3,1,1
S00295,U0486,2025-07-06,/blog,facebook,top-q3,10,0
S00296,U0309,2025-07-06,/demo,organic,,4,0
S00297,U0054,2025-07-06,/solutions,google,exp-q3,6,0
S00298,U0122,2025-07-06,/demo,facebook,retarget-q3,3,0
S00299,U0494,2025-07-06,/,facebook,retarget-q3,8,0
S00300,U0108,2025-07-06,/pricing,google,demo-q3,6,0
S00301,U0056,2025-07-06,/enterprise,google,brand-q3,1,0
S00302,U0376,2025-07-06,/solutions,google,exp-q3,7,0
S00303,U0194,2025-07-06,/demo,,,7,0
S00304,U0246,2025-07-06,/blog,linkedin,cxo-q3,3,0
S00305,U0410,2025-07-06,/,linkedin,abm-q3,1,0
S00306,U0488,2025-07-06,/,google,demo-q3,6,0
S00307,U0193,2025-07-06,/pricing,google,demo-q3,9,1
S00308,U0048,2025-07-06,/demo,organic,,10,1
S00309,U0361,2025-07-06,/,facebook,top-q3,3,0
S00310,U0223,2025-07-06,/pricing,google,brand-q3,2,0
S00311,U0499,2025-07-06,/pricing,facebook,top-q3,9,0
S00312,U0374,2025-07-06,/blog,linkedin,abm-q3,5,0
S00313,U0050,2025-07-06,/,facebook,top-q3,10,0
S00314,U0252,2025-07-06,/pricing,google,brand-q3,6,0
S00315,U0045,2025-07-06,/demo,organic,,8,0
S00316,U0106,2025-07-07,/pricing,linkedin,abm-q3,2,0
S00317,U0060,2025-07-07,/demo,facebook,top-q3,8,0
S00318,U0339,2025-07-07,/demo,google,demo-q3,9,0
S00319,U0190,2025-07-07,/solutions,facebook,retarget-q3,3,0
S00320,U0135,2025-07-07,/solutions,twitter,test-q3,5,0
S00321,U0138,2025-07-07,/blog,google,brand-q3,3,0
S00322,U0342,2025-07-07,/,google,demo-q3,6,0
S00323,U0212,2025-07-07,/blog,linkedin,cxo-q3,9,0
S00324,U0199,2025-07-07,/blog,facebook,top-q3,9,0
S00325,U0480,2025-07-07,/solutions,organic,,4,0
S00326,U0041,2025-07-07,/solutions,google,brand-q3,9,0
S00327,U0265,2025-07-07,/blog,organic,,3,0
S00328,U0388,2025-07-07,/solutions,google,exp-q3,3,2
S00329,U0414,2025-07-07,/pricing,google,exp-q3,1,0
S00330,U0350,2025-07-07,/solutions,linkedin,cxo-q3,3,0
S00331,U0133,2025-07-07,/demo,google,demo-q3,2,0
S00332,U0204,2025-07-07,/blog,facebook,retarget-q3,5,0
S00333,U0470,2025-07-07,/,organic,,10,0
S00334,U0215,2025-07-07,/,facebook,top-q3,3,0
S00335,U0302,2025-07-07,/blog,google,demo-q3,2,0
S00336,U0052,2025-07-07,/demo,,,6,1
S00337,U0136,2025-07-07,/solutions,twitter,test-q3,10,0
S00338,U0020,2025-07-07,/pricing,linkedin,abm-q3,7,0
S00339,U0312,2025-07-07,/enterprise,facebook,top-q3,1,0
S00340,U0451,2025-07-07,/demo,linkedin,cxo-q3,1,0
S00341,U0472,2025-07-07,/demo,facebook,retarget-q3,1,0
S00342,U0407,2025-07-07,/demo,linkedin,abm-q3,5,0
S00343,U0440,2025-07-07,/enterprise,google,demo-q3,4,0
S00344,U0499,2025-07-07,/enterprise,twitter,test-q3,6,0
S00345,U0214,2025-07-07,/blog,google,demo-q3,4,0
S00346,U0468,2025-07-07,/solutions,twitter,test-q3,9,1
S00347,U0264,2025-07-08,/pricing,google,demo-q3,5,0
S00348,U0207,2025-07-08,/pricing,,,10,0
S00349,U0099,2025-07-08,/pricing,google,brand-q3,4,0
S00350,U0026,2025-07-08,/demo,linkedin,cxo-q3,5,0
S00351,U0238,2025-07-08,/blog,facebook,top-q3,2,0
S00352,U0124,2025-07-08,/demo,twitter,test-q3,10,0
S00353,U0492,2025-07-08,/solutions,organic,,9,0
S00354,U0084,2025-07-08,/demo,google,demo-q3,5,0
S00355,U0026,2025-07-08,/pricing,organic,,4,1
S00356,U0332,2025-07-08,/pricing,linkedin,cxo-q3,5,0
S00357,U0263,2025-07-08,/,google,brand-q3,8,1
S00358,U0332,2025-07-08,/pricing,organic,,1,0
S00359,U0312,2025-07-08,/demo,linkedin,abm-q3,7,1
S00360,U0437,2025-07-08,/demo,twitter,test-q3,5,0
S00361,U0155,2025-07-08,/enterprise,,,10,0
S00362,U0053,2025-07-08,/,,,6,0
S00363,U0305,2025-07-08,/blog,linkedin,abm-q3,5,0
S00364,U0247,2025-07-08,/,facebook,retarget-q3,5,0
S00365,U0442,2025-07-08,/demo,linkedin,abm-q3,5,0
S00366,U0265,2025-07-08,/pricing,google,brand-q3,10,0
S00367,U0164,2025-07-08,/enterprise,google,exp-q3,1,0
S00368,U0152,2025-07-08,/demo,facebook,top-q3,7,0
S00369,U0019,2025-07-08,/blog,organic,,4,0
S00370,U0366,2025-07-08,/pricing,,,8,1
S00371,U0344,2025-07-08,/demo,,,5,0
S00372,U0431,2025-07-08,/enterprise,,,3,0
S00373,U0242,2025-07-08,/pricing,linkedin,abm-q3,9,0
S00374,U0094,2025-07-08,/enterprise,facebook,retarget-q3,2,0
S00375,U0115,2025-07-08,/enterprise,linkedin,abm-q3,7,0
S00376,U0170,2025-07-08,/demo,linkedin,abm-q3,10,0
S00377,U0436,2025-07-08,/,twitter,test-q3,1,1
S00378,U0299,2025-07-08,/blog,organic,,2,0
S00379,U0100,2025-07-08,/blog,google,demo-q3,7,0
S00380,U0028,2025-07-09,/pricing,google,exp-q3,4,0
S00381,U0292,2025-07-09,/solutions,google,exp-q3,6,1
S00382,U0093,2025-07-09,/,twitter,test-q3,6,0
S00383,U0091,2025-07-09,/demo,google,brand-q3,1,0
S00384,U0108,2025-07-09,/pricing,organic,,3,0
S00385,U0391,2025-07-09,/,google,exp-q3,10,0
S00386,U0220,2025-07-09,/solutions,facebook,top-q3,8,0
S00387,U0020,2025-07-09,/blog,linkedin,cxo-q3,6,1
S00388,U0457,2025-07-09,/demo,,,4,0
S00389,U0003,2025-07-09,/enterprise,linkedin,cxo-q3,4,0
S00390,U0177,2025-07-09,/demo,google,exp-q3,2,0
S00391,U0302,2025-07-09,/demo,google,exp-q3,2,0
S00392,U0153,2025-07-09,/demo,twitter,test-q3,9,0
S00393,U0173,2025-07-09,/solutions,google,exp-q3,6,2
S00394,U0251,2025-07-09,/demo,linkedin,cxo-q3,3,1
S00395,U0471,2025-07-09,/solutions,google,brand-q3,4,0
S00396,U0068,2025-07-09,/pricing,google,brand-q3,10,0
S00397,U0064,2025-07-09,/demo,google,brand-q3,7,1
S00398,U0131,2025-07-09,/blog,organic,,1,0
S00399,U0025,2025-07-09,/enterprise,google,demo-q3,1,0
S00400,U0060,2025-07-09,/solutions,twitter,test-q3,7,0
S00401,U0130,2025-07-09,/solutions,google,exp-q3,4,0
S00402,U0323,2025-07-09,/,linkedin,abm-q3,7,0
S00403,U0340,2025-07-09,/blog,linkedin,abm-q3,10,0
S00404,U0071,2025-07-09,/solutions,google,demo-q3,9,0
S00405,U0061,2025-07-09,/demo,google,demo-q3,2,0
S00406,U0312,2025-07-09,/pricing,linkedin,abm-q3,9,2
S00407,U0184,2025-07-09,/enterprise,facebook,top-q3,5,0
S00408,U0281,2025-07-09,/solutions,linkedin,cxo-q3,8,0
S00409,U0002,2025-07-09,/,google,demo-q3,2,0
S00410,U0343,2025-07-09,/solutions,google,exp-q3,2,0
S00411,U0039,2025-07-09,/enterprise,google,demo-q3,5,0
S00412,U0234,2025-07-09,/demo,linkedin,abm-q3,8,0
S00413,U0417,2025-07-09,/pricing,google,brand-q3,5,0
S00414,U0347,2025-07-09,/demo,facebook,top-q3,2,0
S00415,U0389,2025-07-09,/,google,brand-q3,3,0
S00416,U0088,2025-07-09,/demo,facebook,retarget-q3,8,1
S00417,U0138,2025-07-09,/enterprise,google,demo-q3,6,0
S00418,U0094,2025-07-09,/,facebook,top-q3,7,1
S00419,U0140,2025-07-09,/solutions,twitter,test-q3,7,0
S00420,U0409,2025-07-09,/pricing,google,demo-q3,3,0
S00421,U0031,2025-07-09,/pricing,google,demo-q3,7,1
S00422,U0248,2025-07-09,/blog,twitter,test-q3,3,0
S00423,U0399,2025-07-09,/demo,organic,,1,1
S00424,U0451,2025-07-09,/enterprise,google,exp-q3,8,1
S00425,U0058,2025-07-09,/solutions,twitter,test-q3,1,0
S00426,U0336,2025-07-09,/demo,google,brand-q3,9,0
S00427,U0296,2025-07-09,/enterprise,organic,,4,2
S00428,U0343,2025-07-09,/demo,,,9,0
S00429,U0317,2025-07-09,/,facebook,top-q3,4,0
S00430,U0340,2025-07-09,/enterprise,facebook,top-q3,3,0
S00431,U0286,2025-07-09,/blog,google,brand-q3,1,0
S00432,U0081,2025-07-09,/blog,twitter,test-q3,8,1
S00433,U0039,2025-07-09,/solutions,facebook,retarget-q3,4,0
S00434,U0143,2025-07-09,/,,,4,0
S00435,U0194,2025-07-09,/solutions,linkedin,cxo-q3,2,0
S00436,U0230,2025-07-10,/,twitter,test-q3,8,0
S00437,U0255,2025-07-10,/enterprise,google,brand-q3,2,0
S00438,U0019,2025-07-10,/blog,,,1,0
S00439,U0406,2025-07-10,/blog,organic,,5,1
S00440,U0288,2025-07-10,/pricing,twitter,test-q3,6,0
S00441,U0028,2025-07-10,/pricing,twitter,test-q3,6,0
